“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt
"“A day without sunshine is like, you know, night.”",Steve Martin
“You know you’re in love when you can’t fall asleep because reality is finally better than your dreams.”– Dr. Suess,– Dr. Suess
"“I’m selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can’t handle me at my worst, then you sure as hell don’t deserve me at my best.”– Marilyn Monroe",– Marilyn Monroe
“Get busy living or get busy dying.”– Stephen King,– Stephen King
“The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.”– Mark Caine,– Mark Caine
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”– Helen Keller",– Helen Keller
“Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do.”– Mark Twain,– Mark Twain
"“When I dare to be powerful – to use my strength in the service of my vision, then it becomes less and less important whether I am afraid.”– Audre Lorde",– Audre Lorde
“Great minds discuss ideas; average minds discuss events; small minds discuss people.”– Eleanor Roosevelt,– Eleanor Roosevelt
“A successful man is one who can lay a firm foundation with the bricks others have thrown at him.”– David Brinkley,– David Brinkley
“Those who dare to fail miserably can achieve greatly.”– John F. Kennedy,– John F. Kennedy
"“I can’t give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”-Herbert Bayard Swope",-Herbert Bayard Swope
"“Would you like me to give you a formula for success? It’s quite simple, really: Double your rate of failure. You are thinking of failure as the enemy of success. But it isn’t at all. You can be discouraged by failure or you can learn from it, so go ahead and make mistakes. Make all you can. Because remember that’s where you will find success.”– Thomas J. Watson",– Thomas J. Watson
"“It is hard to fail, but it is worse never to have tried to succeed.”– Theodore Roosevelt",– Theodore Roosevelt
“I’m a success today because I had a friend who believed in me and I didn’t have the heart to let him down.”– Abraham Lincoln,– Abraham Lincoln
“Love yourself first and everything else falls into line. You really have to love yourself to get anything done in this world.”– Lucille Ball,– Lucille Ball
"“Let us always meet each other with smile, for the smile is the beginning of love.”– Mother Teresa",– Mother Teresa
“Challenges are what make life interesting and overcoming them is what makes life meaningful.”– Joshua J. Marine,– Joshua J. Marine
“Love is a serious mental disease.”– Plato,– Plato
“Our greatest fear should not be of failure… but of succeeding at things in life that don’t really matter.”– Francis Chan,– Francis Chan
“It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.”– Leonardo Da Vinci,– Leonardo Da Vinci
